'2019-08-20 16:11:14.358000', 755', '627', 'None'
'2019-08-20 16:11:14.362000', 730', '615', 'None'
'2019-08-20 16:11:14.366000', 703', '600', 'None'
'2019-08-20 16:11:14.373000', 677', '585', 'None'
'2019-08-20 16:11:14.380000', 641', '568', 'None'
'2019-08-20 16:11:14.387000', 602', '548', 'None'
'2019-08-20 16:11:14.394000', 583', '539', 'None'
'2019-08-20 16:11:14.403000', 555', '529', 'None'
'2019-08-20 16:11:14.409000', 529', '517', 'None'
'2019-08-20 16:11:14.416000', 509', '505', 'None'
'2019-08-20 16:11:14.423000', 495', '497', 'None'
'2019-08-20 16:11:14.431000', 483', '487', 'None'
'2019-08-20 16:11:14.438000', 469', '477', 'None'
'2019-08-20 16:11:14.446000', 455', '470', 'None'
'2019-08-20 16:11:14.453000', 441', '463', 'None'
'2019-08-20 16:11:14.460000', 430', '459', 'None'
'2019-08-20 16:11:14.467000', 423', '456', 'None'
'2019-08-20 16:11:14.474000', 416', '452', 'None'
'2019-08-20 16:11:14.482000', 411', '450', 'None'
'2019-08-20 16:11:14.489000', 406', '447', 'None'
'2019-08-20 16:11:14.496000', 401', '444', 'None'
'2019-08-20 16:11:14.503000', 395', '438', 'None'
'2019-08-20 16:11:14.510000', 390', '432', 'None'
'2019-08-20 16:11:14.518000', 384', '423', 'None'
'2019-08-20 16:11:14.526000', 379', '412', 'None'
'2019-08-20 16:11:14.533000', 372', '405', 'None'
'2019-08-20 16:11:14.540000', 368', '396', 'None'
'2019-08-20 16:11:14.547000', 365', '387', 'None'
'2019-08-20 16:11:14.554000', 362', '376', 'None'
'2019-08-20 16:11:14.562000', 357', '367', 'None'
'2019-08-20 16:11:14.569000', 353', '357', 'None'
'2019-08-20 16:11:14.576000', 350', '346', 'None'
'2019-08-20 16:11:14.584000', 347', '341', 'None'
'2019-08-20 16:11:14.591000', 344', '333', 'None'
'2019-08-20 16:11:14.598000', 342', '329', 'None'
'2019-08-20 16:11:14.605000', 341', '325', 'None'
'2019-08-20 16:11:14.613000', 340', '322', 'None'
'2019-08-20 16:11:14.620000', 339', '318', 'None'
'2019-08-20 16:11:14.627000', 339', '311', 'None'
'2019-08-20 16:11:14.635000', 340', '301', 'None'
'2019-08-20 16:11:14.642000', 341', '289', 'None'
'2019-08-20 16:11:14.649000', 343', '280', 'None'
'2019-08-20 16:11:14.656000', 347', '271', 'None'
'2019-08-20 16:11:14.664000', 352', '264', 'None'
'2019-08-20 16:11:14.671000', 356', '259', 'None'
'2019-08-20 16:11:14.678000', 359', '254', 'None'
'2019-08-20 16:11:14.686000', 364', '249', 'None'
'2019-08-20 16:11:14.693000', 365', '246', 'None'
'2019-08-20 16:11:14.700000', 367', '242', 'None'
'2019-08-20 16:11:14.707000', 369', '239', 'None'
'2019-08-20 16:11:14.715000', 372', '238', 'None'
'2019-08-20 16:11:14.722000', 374', '234', 'None'
'2019-08-20 16:11:14.729000', 376', '232', 'None'
'2019-08-20 16:11:14.737000', 378', '230', 'None'
'2019-08-20 16:11:14.744000', 380', '228', 'None'
'2019-08-20 16:11:14.751000', 382', '226', 'None'
'2019-08-20 16:11:14.758000', 385', '224', 'None'
'2019-08-20 16:11:14.765000', 390', '223', 'None'
'2019-08-20 16:11:14.773000', 394', '223', 'None'
'2019-08-20 16:11:14.780000', 400', '224', 'None'
'2019-08-20 16:11:14.787000', 408', '226', 'None'
'2019-08-20 16:11:14.795000', 416', '228', 'None'
'2019-08-20 16:11:14.802000', 422', '232', 'None'
'2019-08-20 16:11:14.809000', 428', '234', 'None'
'2019-08-20 16:11:14.817000', 432', '239', 'None'
'2019-08-20 16:11:14.824000', 440', '242', 'None'
'2019-08-20 16:11:14.831000', 444', '246', 'None'
'2019-08-20 16:11:14.838000', 452', '251', 'None'
'2019-08-20 16:11:14.846000', 457', '254', 'None'
'2019-08-20 16:11:14.853000', 463', '259', 'None'
'2019-08-20 16:11:14.860000', 468', '265', 'None'
'2019-08-20 16:11:14.868000', 474', '271', 'None'
'2019-08-20 16:11:14.875000', 479', '279', 'None'
'2019-08-20 16:11:14.882000', 483', '286', 'None'
'2019-08-20 16:11:14.889000', 488', '291', 'None'
'2019-08-20 16:11:14.897000', 490', '295', 'None'
'2019-08-20 16:11:14.903000', 492', '299', 'None'
'2019-08-20 16:11:14.911000', 494', '302', 'None'
'2019-08-20 16:11:14.919000', 498', '305', 'None'
'2019-08-20 16:11:14.926000', 500', '309', 'None'
'2019-08-20 16:11:14.933000', 502', '312', 'None'
'2019-08-20 16:11:14.940000', 504', '314', 'None'
'2019-08-20 16:11:14.948000', 507', '320', 'None'
'2019-08-20 16:11:14.955000', 509', '323', 'None'
'2019-08-20 16:11:14.962000', 511', '327', 'None'
'2019-08-20 16:11:14.970000', 512', '328', 'None'
'2019-08-20 16:11:14.977000', 512', '330', 'None'
'2019-08-20 16:11:14.985000', 512', '332', 'None'
'2019-08-20 16:11:14.998000', 512', '333', 'None'
'2019-08-20 16:11:15.005000', 512', '334', 'None'
'2019-08-20 16:11:15.013000', 512', '335', 'None'
'2019-08-20 16:11:15.020000', 512', '336', 'None'
'2019-08-20 16:11:15.029000', 512', '337', 'None'
'2019-08-20 16:11:15.043000', 512', '338', 'None'
'2019-08-20 16:11:15.050000', 511', '339', 'None'
'2019-08-20 16:11:15.057000', 511', '340', 'None'
'2019-08-20 16:11:15.064000', 510', '340', 'None'
'2019-08-20 16:11:15.071000', 507', '340', 'None'
'2019-08-20 16:11:15.078000', 506', '340', 'None'
'2019-08-20 16:11:15.086000', 504', '340', 'None'
'2019-08-20 16:11:15.093000', 503', '340', 'None'
'2019-08-20 16:11:15.101000', 499', '340', 'None'
'2019-08-20 16:11:15.109000', 497', '340', 'None'
'2019-08-20 16:11:15.115000', 494', '339', 'None'
'2019-08-20 16:11:15.122000', 492', '338', 'None'
'2019-08-20 16:11:15.130000', 488', '337', 'None'
'2019-08-20 16:11:15.136000', 485', '337', 'None'
'2019-08-20 16:11:15.144000', 482', '336', 'None'
'2019-08-20 16:11:15.152000', 479', '335', 'None'
'2019-08-20 16:11:15.159000', 477', '333', 'None'
'2019-08-20 16:11:15.166000', 475', '332', 'None'
'2019-08-20 16:11:15.173000', 472', '331', 'None'
'2019-08-20 16:11:15.180000', 468', '330', 'None'
'2019-08-20 16:11:15.188000', 466', '329', 'None'
'2019-08-20 16:11:15.195000', 463', '328', 'None'
'2019-08-20 16:11:15.203000', 458', '326', 'None'
'2019-08-20 16:11:15.210000', 454', '325', 'None'
'2019-08-20 16:11:15.218000', 446', '322', 'None'
'2019-08-20 16:11:15.224000', 441', '319', 'None'
'2019-08-20 16:11:15.232000', 434', '318', 'None'
'2019-08-20 16:11:15.239000', 430', '317', 'None'
'2019-08-20 16:11:15.246000', 425', '316', 'None'
'2019-08-20 16:11:15.253000', 421', '315', 'None'
'2019-08-20 16:11:15.261000', 417', '314', 'None'
'2019-08-20 16:11:15.268000', 413', '313', 'None'
'2019-08-20 16:11:15.275000', 409', '310', 'None'
'2019-08-20 16:11:15.283000', 403', '308', 'None'
'2019-08-20 16:11:15.290000', 399', '306', 'None'
'2019-08-20 16:11:15.297000', 393', '303', 'None'
'2019-08-20 16:11:15.305000', 387', '299', 'None'
'2019-08-20 16:11:15.312000', 380', '295', 'None'
'2019-08-20 16:11:15.319000', 375', '292', 'None'
'2019-08-20 16:11:15.326000', 368', '285', 'None'
'2019-08-20 16:11:15.334000', 363', '281', 'None'
'2019-08-20 16:11:15.341000', 357', '275', 'None'
'2019-08-20 16:11:15.348000', 353', '270', 'None'
'2019-08-20 16:11:15.355000', 347', '267', 'None'
'2019-08-20 16:11:15.362000', 341', '260', 'None'
'2019-08-20 16:11:15.370000', 333', '255', 'None'
'2019-08-20 16:11:15.377000', 327', '248', 'None'
'2019-08-20 16:11:15.384000', 317', '237', 'None'
'2019-08-20 16:11:15.392000', 309', '223', 'None'
'2019-08-20 16:11:15.399000', 300', '207', 'None'
'2019-08-20 16:11:15.407000', 296', '195', 'None'
'2019-08-20 16:11:15.413000', 292', '188', 'None'
'2019-08-20 16:11:15.420000', 291', '176', 'None'
'2019-08-20 16:11:15.428000', 291', '161', 'None'
'2019-08-20 16:11:15.435000', 292', '140', 'None'
'2019-08-20 16:11:15.443000', 294', '127', 'None'
'2019-08-20 16:11:15.450000', 297', '118', 'None'
'2019-08-20 16:11:15.457000', 301', '107', 'None'
'2019-08-20 16:11:15.464000', 305', '97', 'None'
'2019-08-20 16:11:15.472000', 311', '86', 'None'
'2019-08-20 16:11:15.480000', 315', '79', 'None'
'2019-08-20 16:11:15.487000', 320', '71', 'None'
'2019-08-20 16:11:15.494000', 323', '67', 'None'
'2019-08-20 16:11:15.502000', 325', '63', 'None'
'2019-08-20 16:11:15.508000', 333', '58', 'None'
'2019-08-20 16:11:15.516000', 344', '50', 'None'
'2019-08-20 16:11:15.523000', 363', '43', 'None'
'2019-08-20 16:11:15.531000', 380', '39', 'None'
'2019-08-20 16:11:15.538000', 396', '34', 'None'
'2019-08-20 16:11:15.545000', 417', '31', 'None'
'2019-08-20 16:11:15.552000', 452', '27', 'None'
'2019-08-20 16:11:15.560000', 480', '25', 'None'
'2019-08-20 16:11:15.567000', 508', '25', 'None'
'2019-08-20 16:11:15.574000', 549', '26', 'None'
'2019-08-20 16:11:15.581000', 575', '29', 'None'
'2019-08-20 16:11:15.588000', 595', '34', 'None'
'2019-08-20 16:11:15.596000', 612', '45', 'None'
'2019-08-20 16:11:15.603000', 627', '57', 'None'
'2019-08-20 16:11:15.611000', 638', '68', 'None'
'2019-08-20 16:11:15.618000', 644', '75', 'None'
'2019-08-20 16:11:15.625000', 650', '84', 'None'
'2019-08-20 16:11:15.632000', 656', '102', 'None'
'2019-08-20 16:11:15.640000', 663', '123', 'None'
'2019-08-20 16:11:15.646000', 664', '136', 'None'
'2019-08-20 16:11:15.654000', 664', '148', 'None'
'2019-08-20 16:11:15.661000', 658', '157', 'None'
'2019-08-20 16:11:15.669000', 653', '166', 'None'
'2019-08-20 16:11:15.676000', 644', '175', 'None'
'2019-08-20 16:11:15.683000', 635', '185', 'None'
'2019-08-20 16:11:15.690000', 620', '196', 'None'
'2019-08-20 16:11:15.698000', 590', '214', 'None'
'2019-08-20 16:11:15.705000', 555', '229', 'None'
'2019-08-20 16:11:15.713000', 530', '240', 'None'
'2019-08-20 16:11:15.719000', 485', '253', 'None'
'2019-08-20 16:11:15.727000', 449', '259', 'None'
'2019-08-20 16:11:15.734000', 432', '262', 'None'
'2019-08-20 16:11:15.741000', 414', '265', 'None'
'2019-08-20 16:11:15.749000', 399', '266', 'None'
'2019-08-20 16:11:15.756000', 385', '266', 'None'
'2019-08-20 16:11:15.763000', 377', '266', 'None'
'2019-08-20 16:11:15.771000', 370', '266', 'None'
'2019-08-20 16:11:15.778000', 367', '266', 'None'
'2019-08-20 16:11:15.785000', 366', '266', 'None'
'2019-08-20 16:11:15.793000', 364', '266', 'None'
'2019-08-20 16:11:15.800000', 363', '266', 'None'
'2019-08-20 16:11:15.807000', 362', '266', 'None'
'2019-08-20 16:11:15.815000', 362', '260', 'None'
'2019-08-20 16:11:15.822000', 375', '239', 'None'
'2019-08-20 16:11:15.829000', 394', '220', 'None'
'2019-08-20 16:11:15.836000', 423', '195', 'None'
'2019-08-20 16:11:15.843000', 467', '165', 'None'
'2019-08-20 16:11:15.852000', 501', '139', 'None'
'2019-08-20 16:11:15.857000', 533', '117', 'None'
'2019-08-20 16:11:15.865000', 565', '100', 'None'
'2019-08-20 16:11:15.872000', 584', '93', 'None'
'2019-08-20 16:11:15.880000', 595', '93', 'None'
'2019-08-20 16:11:15.887000', 604', '95', 'None'
'2019-08-20 16:11:15.895000', 609', '99', 'None'
'2019-08-20 16:11:15.901000', 613', '105', 'None'
'2019-08-20 16:11:15.909000', 617', '114', 'None'
'2019-08-20 16:11:15.917000', 620', '122', 'None'
'2019-08-20 16:11:15.923000', 621', '129', 'None'
'2019-08-20 16:11:15.931000', 621', '143', 'None'
'2019-08-20 16:11:15.938000', 619', '156', 'None'
'2019-08-20 16:11:15.946000', 614', '170', 'None'
'2019-08-20 16:11:15.952000', 607', '179', 'None'
'2019-08-20 16:11:15.960000', 601', '187', 'None'
'2019-08-20 16:11:15.968000', 592', '193', 'None'
'2019-08-20 16:11:15.974000', 584', '200', 'None'
'2019-08-20 16:11:15.982000', 578', '205', 'None'
'2019-08-20 16:11:15.989000', 570', '210', 'None'
'2019-08-20 16:11:15.996000', 563', '215', 'None'
'2019-08-20 16:11:16.003000', 554', '218', 'None'
'2019-08-20 16:11:16.011000', 548', '222', 'None'
'2019-08-20 16:11:16.018000', 541', '227', 'None'
'2019-08-20 16:11:16.025000', 538', '229', 'None'
'2019-08-20 16:11:16.033000', 534', '230', 'None'
'2019-08-20 16:11:16.040000', 532', '231', 'None'
'2019-08-20 16:11:16.047000', 530', '231', 'None'
'2019-08-20 16:11:16.062000', 529', '231', 'None'
'2019-08-20 16:11:16.069000', 528', '231', 'None'
'2019-08-20 16:11:16.084000', 529', '226', 'None'
'2019-08-20 16:11:16.091000', 545', '200', 'None'
'2019-08-20 16:11:16.098000', 567', '160', 'None'
'2019-08-20 16:11:16.105000', 586', '135', 'None'
'2019-08-20 16:11:16.113000', 607', '110', 'None'
'2019-08-20 16:11:16.120000', 633', '79', 'None'
'2019-08-20 16:11:16.127000', 654', '53', 'None'
'2019-08-20 16:11:16.135000', 665', '41', 'None'
'2019-08-20 16:11:16.142000', 676', '31', 'None'
'2019-08-20 16:11:16.149000', 684', '25', 'None'
'2019-08-20 16:11:16.156000', 689', '21', 'None'
'2019-08-20 16:11:16.164000', 692', '19', 'None'
'2019-08-20 16:11:16.172000', 695', '18', 'None'
'2019-08-20 16:11:16.179000', 699', '17', 'None'
'2019-08-20 16:11:16.186000', 702', '16', 'None'
'2019-08-20 16:11:16.193000', 703', '16', 'None'
'2019-08-20 16:11:16.201000', 704', '16', 'None'
'2019-08-20 16:11:16.207000', 705', '16', 'None'
'2019-08-20 16:11:16.215000', 706', '16', 'None'
'2019-08-20 16:11:16.251000', 705', '15', 'None'
'2019-08-20 16:11:16.258000', 704', '14', 'None'
'2019-08-20 16:11:16.267000', 700', '12', 'None'
'2019-08-20 16:11:16.273000', 692', '8', 'None'
'2019-08-20 16:11:16.281000', 680', '6', 'None'
'2019-08-20 16:11:16.288000', 659', '3', 'None'
'2019-08-20 16:11:16.295000', 635', '3', 'None'
'2019-08-20 16:11:16.302000', 617', '3', 'None'
'2019-08-20 16:11:16.309000', 591', '5', 'None'
'2019-08-20 16:11:16.318000', 559', '9', 'None'
'2019-08-20 16:11:16.324000', 542', '13', 'None'
'2019-08-20 16:11:16.332000', 525', '16', 'None'
'2019-08-20 16:11:16.339000', 506', '20', 'None'
'2019-08-20 16:11:16.346000', 491', '26', 'None'
'2019-08-20 16:11:16.353000', 479', '30', 'None'
'2019-08-20 16:11:16.360000', 471', '35', 'None'
'2019-08-20 16:11:16.368000', 462', '41', 'None'
'2019-08-20 16:11:16.375000', 453', '48', 'None'
'2019-08-20 16:11:16.382000', 445', '57', 'None'
'2019-08-20 16:11:16.390000', 435', '67', 'None'
'2019-08-20 16:11:16.397000', 424', '76', 'None'
'2019-08-20 16:11:16.404000', 412', '93', 'None'
'2019-08-20 16:11:16.411000', 398', '116', 'None'
'2019-08-20 16:11:16.419000', 386', '136', 'None'
'2019-08-20 16:11:16.427000', 381', '150', 'None'
'2019-08-20 16:11:16.434000', 375', '162', 'None'
'2019-08-20 16:11:16.440000', 371', '179', 'None'
'2019-08-20 16:11:16.448000', 368', '196', 'None'
'2019-08-20 16:11:16.455000', 366', '211', 'None'
'2019-08-20 16:11:16.463000', 363', '221', 'None'
'2019-08-20 16:11:16.469000', 362', '230', 'None'
'2019-08-20 16:11:16.477000', 361', '237', 'None'
'2019-08-20 16:11:16.484000', 361', '249', 'None'
'2019-08-20 16:11:16.491000', 361', '259', 'None'
'2019-08-20 16:11:16.499000', 361', '269', 'None'
'2019-08-20 16:11:16.506000', 361', '275', 'None'
'2019-08-20 16:11:16.514000', 361', '282', 'None'
'2019-08-20 16:11:16.521000', 361', '286', 'None'
'2019-08-20 16:11:16.528000', 361', '291', 'None'
'2019-08-20 16:11:16.535000', 361', '294', 'None'
'2019-08-20 16:11:16.543000', 361', '295', 'None'
'2019-08-20 16:11:16.551000', 361', '298', 'None'
'2019-08-20 16:11:16.558000', 361', '299', 'None'
'2019-08-20 16:11:16.565000', 361', '301', 'None'
'2019-08-20 16:11:16.571000', 361', '303', 'None'
'2019-08-20 16:11:16.579000', 361', '304', 'None'
'2019-08-20 16:11:16.586000', 361', '307', 'None'
'2019-08-20 16:11:16.594000', 361', '308', 'None'
'2019-08-20 16:11:16.601000', 361', '310', 'None'
'2019-08-20 16:11:16.608000', 361', '313', 'None'
'2019-08-20 16:11:16.615000', 363', '317', 'None'
'2019-08-20 16:11:16.622000', 364', '321', 'None'
'2019-08-20 16:11:16.630000', 367', '326', 'None'
'2019-08-20 16:11:16.637000', 368', '329', 'None'
'2019-08-20 16:11:16.645000', 369', '333', 'None'
'2019-08-20 16:11:16.652000', 371', '339', 'None'
'2019-08-20 16:11:16.659000', 371', '341', 'None'
'2019-08-20 16:11:16.667000', 373', '344', 'None'
'2019-08-20 16:11:16.673000', 374', '347', 'None'
'2019-08-20 16:11:16.681000', 376', '350', 'None'
'2019-08-20 16:11:16.688000', 378', '351', 'None'
'2019-08-20 16:11:16.695000', 380', '355', 'None'
'2019-08-20 16:11:16.703000', 383', '358', 'None'
'2019-08-20 16:11:16.710000', 385', '361', 'None'
'2019-08-20 16:11:16.717000', 388', '365', 'None'
'2019-08-20 16:11:16.725000', 391', '370', 'None'
'2019-08-20 16:11:16.732000', 394', '374', 'None'
'2019-08-20 16:11:16.739000', 398', '381', 'None'
'2019-08-20 16:11:16.747000', 400', '385', 'None'
'2019-08-20 16:11:16.755000', 401', '389', 'None'
'2019-08-20 16:11:16.761000', 403', '393', 'None'
'2019-08-20 16:11:16.768000', 406', '398', 'None'
'2019-08-20 16:11:16.775000', 407', '401', 'None'
'2019-08-20 16:11:16.783000', 408', '402', 'None'
'2019-08-20 16:11:16.790000', 409', '404', 'None'
'2019-08-20 16:11:16.798000', 410', '405', 'None'
'2019-08-20 16:11:16.805000', 410', '406', 'None'
'2019-08-20 16:11:16.812000', 410', '407', 'None'
'2019-08-20 16:11:16.819000', 410', '408', 'None'
'2019-08-20 16:11:16.834000', 410', '409', 'None'
'2019-08-20 16:11:16.841000', 410', '410', 'None'
'2019-08-20 16:11:16.915000', 409', '410', 'None'
'2019-08-20 16:11:16.922000', 408', '410', 'None'
'2019-08-20 16:11:16.929000', 405', '410', 'None'
'2019-08-20 16:11:16.936000', 402', '408', 'None'
'2019-08-20 16:11:16.944000', 399', '406', 'None'
'2019-08-20 16:11:16.951000', 396', '403', 'None'
'2019-08-20 16:11:16.958000', 392', '401', 'None'
'2019-08-20 16:11:16.965000', 390', '399', 'None'
'2019-08-20 16:11:16.972000', 387', '397', 'None'
'2019-08-20 16:11:16.980000', 383', '394', 'None'
'2019-08-20 16:11:16.987000', 379', '393', 'None'
'2019-08-20 16:11:16.994000', 375', '392', 'None'
'2019-08-20 16:11:17.002000', 371', '391', 'None'
'2019-08-20 16:11:17.008000', 367', '390', 'None'
'2019-08-20 16:11:17.016000', 360', '389', 'None'
'2019-08-20 16:11:17.024000', 352', '388', 'None'
'2019-08-20 16:11:17.030000', 345', '387', 'None'
'2019-08-20 16:11:17.038000', 334', '386', 'None'
'2019-08-20 16:11:17.045000', 324', '383', 'None'
'2019-08-20 16:11:17.052000', 312', '382', 'None'
'2019-08-20 16:11:17.060000', 295', '380', 'None'
'2019-08-20 16:11:17.067000', 277', '379', 'None'
'2019-08-20 16:11:17.074000', 259', '377', 'None'
'2019-08-20 16:11:17.081000', 236', '376', 'None'
'2019-08-20 16:11:17.088000', 217', '373', 'None'
'2019-08-20 16:11:17.096000', 200', '369', 'None'
'2019-08-20 16:11:17.103000', 181', '364', 'None'
'2019-08-20 16:11:17.110000', 163', '358', 'None'
'2019-08-20 16:11:17.118000', 149', '351', 'None'
'2019-08-20 16:11:17.126000', 137', '345', 'None'
'2019-08-20 16:11:17.133000', 124', '335', 'None'
'2019-08-20 16:11:17.140000', 113', '327', 'None'
'2019-08-20 16:11:17.147000', 99', '317', 'None'
'2019-08-20 16:11:17.154000', 82', '301', 'None'
'2019-08-20 16:11:17.162000', 58', '273', 'None'
'2019-08-20 16:11:17.169000', 47', '256', 'None'
'2019-08-20 16:11:17.176000', 37', '243', 'None'
'2019-08-20 16:11:17.183000', 28', '227', 'None'
'2019-08-20 16:11:17.190000', 25', '223', 'None'
'2019-08-20 16:11:17.198000', 23', '220', 'None'
'2019-08-20 16:11:17.205000', 22', '217', 'None'
'2019-08-20 16:11:17.520000', 10', '215', 'None'
'2019-08-20 16:11:19.413000', 11', '102', 'product.k'
'2019-08-20 16:11:19.421000', 26', '104', 'product.k'
'2019-08-20 16:11:19.427000', 43', '107', 'product.k'
'2019-08-20 16:11:19.433000', 69', '110', 'product.k'
'2019-08-20 16:11:19.441000', 89', '115', 'product.k'
'2019-08-20 16:11:19.448000', 108', '118', 'product.k'
'2019-08-20 16:11:19.455000', 124', '119', 'product.k'
'2019-08-20 16:11:19.463000', 143', '122', 'product.k'
'2019-08-20 16:11:19.470000', 162', '125', 'product.k'
'2019-08-20 16:11:19.477000', 178', '129', 'product.k'
'2019-08-20 16:11:19.485000', 190', '133', 'product.k'
'2019-08-20 16:11:19.492000', 205', '138', 'product.k'
'2019-08-20 16:11:19.499000', 220', '145', 'product.k'
'2019-08-20 16:11:19.507000', 234', '150', 'product.k'
'2019-08-20 16:11:19.515000', 247', '157', 'product.k'
'2019-08-20 16:11:19.521000', 254', '162', 'product.k'
'2019-08-20 16:11:19.529000', 258', '165', 'product.k'
'2019-08-20 16:11:19.535000', 263', '170', 'product.k'
'2019-08-20 16:11:19.543000', 266', '173', 'product.k'
'2019-08-20 16:11:19.550000', 268', '174', 'product.k'
'2019-08-20 16:11:19.557000', 269', '176', 'product.k'
'2019-08-20 16:11:19.565000', 272', '179', 'product.k'
'2019-08-20 16:11:19.572000', 273', '180', 'product.k'
'2019-08-20 16:11:19.579000', 274', '181', 'product.k'
'2019-08-20 16:11:19.586000', 274', '182', 'product.k'
'2019-08-20 16:11:19.594000', 276', '184', 'product.k'
'2019-08-20 16:11:19.602000', 278', '186', 'product.k'
'2019-08-20 16:11:19.609000', 281', '188', 'product.k'
'2019-08-20 16:11:19.616000', 283', '190', 'product.k'
'2019-08-20 16:11:19.623000', 284', '192', 'product.k'
'2019-08-20 16:11:19.630000', 286', '195', 'product.k'
'2019-08-20 16:11:19.637000', 291', '201', 'product.k'
'2019-08-20 16:11:19.645000', 294', '209', 'product.k'
'2019-08-20 16:11:19.652000', 298', '216', 'product.k'
'2019-08-20 16:11:19.659000', 302', '224', 'product.k'
'2019-08-20 16:11:19.667000', 305', '229', 'product.k'
'2019-08-20 16:11:19.674000', 307', '235', 'product.k'
'2019-08-20 16:11:19.681000', 310', '239', 'product.k'
'2019-08-20 16:11:19.689000', 312', '245', 'product.k'
'2019-08-20 16:11:19.696000', 313', '249', 'product.k'
'2019-08-20 16:11:19.703000', 315', '253', 'product.k'
'2019-08-20 16:11:19.710000', 316', '258', 'product.k'
'2019-08-20 16:11:19.718000', 317', '264', 'product.k'
'2019-08-20 16:11:19.725000', 318', '271', 'product.k'
'2019-08-20 16:11:19.732000', 318', '274', 'product.k'
'2019-08-20 16:11:19.739000', 319', '281', 'product.k'
'2019-08-20 16:11:19.747000', 319', '285', 'product.k'
'2019-08-20 16:11:19.754000', 319', '290', 'product.k'
'2019-08-20 16:11:19.761000', 319', '293', 'product.k'
'2019-08-20 16:11:19.768000', 319', '298', 'product.k'
'2019-08-20 16:11:19.776000', 319', '302', 'product.k'
'2019-08-20 16:11:19.783000', 319', '308', 'product.k'
'2019-08-20 16:11:19.790000', 319', '312', 'product.k'
'2019-08-20 16:11:19.798000', 320', '317', 'product.k'
'2019-08-20 16:11:19.805000', 320', '321', 'product.k'
'2019-08-20 16:11:19.812000', 321', '324', 'product.k'
'2019-08-20 16:11:19.819000', 321', '328', 'product.k'
'2019-08-20 16:11:19.826000', 321', '329', 'product.k'
'2019-08-20 16:11:19.834000', 321', '331', 'product.k'
'2019-08-20 16:11:19.841000', 321', '332', 'product.k'
'2019-08-20 16:11:19.848000', 321', '335', 'product.k'
'2019-08-20 16:11:19.856000', 321', '337', 'product.k'
'2019-08-20 16:11:19.864000', 321', '338', 'product.k'
'2019-08-20 16:11:19.870000', 321', '339', 'product.k'
'2019-08-20 16:11:19.878000', 321', '340', 'product.k'
'2019-08-20 16:11:19.893000', 321', '342', 'product.k'
'2019-08-20 16:11:19.899000', 321', '343', 'product.k'
'2019-08-20 16:11:19.914000', 321', '344', 'product.k'
'2019-08-20 16:11:19.921000', 321', '345', 'product.k'
'2019-08-20 16:11:19.981000', 320', '345', 'product.k'
'2019-08-20 16:11:19.988000', 319', '345', 'product.k'
'2019-08-20 16:11:19.995000', 318', '345', 'product.k'
'2019-08-20 16:11:20.001000', 315', '345', 'product.k'
'2019-08-20 16:11:20.009000', 313', '345', 'product.k'
'2019-08-20 16:11:20.016000', 312', '344', 'product.k'
'2019-08-20 16:11:20.024000', 310', '343', 'product.k'
